Funded,URL,Title,Year,Month,Type,Has FB,Backed Projects,Previous Projects,Creator Desc Len,Title Len,Goal,Duration,Pledge Levels,Min Pledge Tiers,Max Pledge Tiers,Proj Desc Len,Images,Videos,Has Video
no,https://www.kickstarter.com/projects/288653095/long-arm-quilter,Long-Arm Quilter,2016,Apr,Crafts,0,0,0,289,16,1500.0,28,9,1.0,500.0,1628,5,0,0
no,https://www.kickstarter.com/projects/1596960706/squarechat-social-chat-app,Squarechat: Social Chat App,2016,Feb,Apps,0,0,0,245,27,10000.0,45,1,25.0,25.0,6001,0,0,0
no,https://www.kickstarter.com/projects/1660585621/magical-memory-of-charlie-chaplin,MAGICAL MEMORY OF CHARLIE CHAPLIN,2016,Mar,Design,0,0,4,677,33,565.92,30,6,1.12,94.0,1570,6,1,1
yes,https://www.kickstarter.com/projects/virginieinde/les-jambes-a-son-cout,Les jambes A son co\xc3\xbbt,2016,Mar,Video,1,0,0,605,28,4527.34,30,7,11.0,223.0,5176,0,1,1
no,https://www.kickstarter.com/projects/192023772/network-of-cameras-to-protect-the-rain-forest-braz,Network of cameras to protect the rain-forest BRAZIL,2016,Feb,Gadgets,1,0,2,474,52,200000.0,60,2,10.0,50.0,819,0,0,0
no,https://www.kickstarter.com/projects/2102128953/occube-next-generation-360-gopro-mount,Occube - Next Generation 360\xc2\xb0 GoPro\xc2\xae Mount,2016,Apr,Gadgets,0,0,0,514,56,45273.4,30,10,141.0,2072.0,5878,10,1,1
yes,https://www.kickstarter.com/projects/tahazudesigns/tahazu-designs,Tahazu Designs,2016,Mar,Crafts,0,1,0,230,14,2500.0,30,9,10.0,300.0,2004,9,1,1
yes,https://www.kickstarter.com/projects/3djoes/collecting-the-art-of-gi-joe-volume-3-1986-1987,Collecting the art of G.I. Joe: Volume 3 (1986-1987),2016,Apr,Art,1,7,4,206,52,15000.0,16,11,10.0,1000.0,6434,6,1,1
yes,https://www.kickstarter.com/projects/corenhg/friction-1,Friction,2016,Mar,Video,1,4,0,393,8,6000.0,26,8,1.0,500.0,4228,6,1,1
no,https://www.kickstarter.com/projects/595434627/agent636kawasaki,Agent636Kawasaki,2016,Feb,Video,1,0,0,86,16,7250.0,39,5,25.0,400.0,323,0,0,0
no,https://www.kickstarter.com/projects/1761492996/our-mission-is-to-democratize-and-simplify-access,OUR MISSION IS TO DEMOCRATIZE AND SIMPLIFY ACCESS TO PEOPLE,2016,Mar,Apps,0,0,0,193,59,15000.0,45,6,1.0,500.0,4781,23,1,1
yes,https://www.kickstarter.com/projects/1477873593/records-collecting-dust-ii,RECORDS COLLECTING DUST II,2016,Mar,Video,1,0,2,315,26,6000.0,30,9,1.0,500.0,5893,3,1,1
yes,https://www.kickstarter.com/projects/1725064282/findmytutor,FindMyTutor,2016,Apr,Apps,0,0,0,131,11,1000.0,20,2,100.0,500.0,1687,0,0,0
no,https://www.kickstarter.com/projects/2059553164/lilpaws-pet-furniture,LilPaws Pet Furniture,2016,Mar,Crafts,1,0,0,495,21,15000.0,30,7,1.0,2500.0,4989,3,0,0
no,https://www.kickstarter.com/projects/mortal1/krazy-custom-candy-jars,Krazy Custom Candy Jars,2016,Mar,Crafts,0,0,0,47,23,700.0,30,2,5.0,10.0,364,0,0,0
no,https://www.kickstarter.com/projects/372408661/lmo-crochet-studio,LMO Crochet Studio,2016,Mar,Crafts,1,0,0,290,18,1000.0,30,1,15.0,15.0,492,0,0,0
yes,https://www.kickstarter.com/projects/1558570295/spinner-needs-a-loom,Spinner needs a loom,2016,Feb,Crafts,1,1,0,38,20,536.38,60,10,0.72,29.0,1302,4,0,0
yes,https://www.kickstarter.com/projects/174676636/stepping-the-sawtooth-along-the-superior-hiking-tr,Stepping the Sawtooth: Along the Superior Hiking Trail,2016,Apr,Video,0,5,0,499,54,1000.0,22,9,1.0,250.0,5734,0,1,1
no,https://www.kickstarter.com/projects/380075749/ranas-customs-cart,Rana's customs cart,2016,Mar,Crafts,1,0,0,113,23,1800.0,30,3,10.0,40.0,1732,0,0,0
no,https://www.kickstarter.com/projects/783838743/the-polyethnic-where-authors-and-readers-connect,The Polyethnic: Where Authors and Readers Connect,2016,Mar,Apps,0,0,2,499,49,1500.0,30,4,1.0,500.0,11322,6,0,0
yes,https://www.kickstarter.com/projects/373351211/leverage-a-multitool-reimagined,Leverage - A Multitool Reimagined,2016,Mar,Design,1,0,0,440,33,1899.61,30,4,1.39,24.0,4742,9,1,1
yes,https://www.kickstarter.com/projects/alexwinter/frank-zappa,WHO THE F*@% IS FRANK ZAPPA?,2016,May,Video,0,23,2,547,28,500000.0,31,32,10.0,25000.0,18091,27,1,1
yes,https://www.kickstarter.com/projects/1408608643/dg-slim-eco-minimalst-wood-slim-wallet,DG Slim ECO - Minimalst Wood Slim Wallet,2016,Mar,Design,1,25,6,373,40,250.0,30,2,2.0,15.0,2312,19,0,0
no,https://www.kickstarter.com/projects/adamhenson/jillion-an-open-source-javascript-framework-for-ht,Jillion: An Open-Source JavaScript Framework for HTTP/2,2016,Mar,Software,1,0,4,253,55,25000.0,30,14,1.0,5000.0,3738,0,0,0
yes,https://www.kickstarter.com/projects/289330193/the-ux4-an-incredibly-versatile-diy-furniture-kit,The UX4: An Incredibly Versatile DIY Furniture Kit,2016,Mar,Design,0,3,0,517,50,20000.0,30,13,20.0,600.0,4571,36,1,1
no,https://www.kickstarter.com/projects/899364566/check-mate,Check-Mate,2016,Mar,Apps,0,0,0,222,10,5000.0,30,1,10.0,10.0,1142,0,0,0
no,https://www.kickstarter.com/projects/1040155278/whyifanart,IFANART,2016,Mar,Apps,1,0,0,393,7,10000.0,30,3,10.0,50.0,589,0,0,0
no,https://www.kickstarter.com/projects/1301314975/hope-25,Hope 25,2016,Mar,Design,1,0,0,330,7,1500.0,30,4,25.0,200.0,3364,3,1,1
yes,https://www.kickstarter.com/projects/1351029401/hexiwear-a-wearable-development-kit-for-the-iot-er,Hexiwear \xe2\x80\x93 a wearable development kit for the IoT era,2016,Feb,Gadgets,0,0,0,554,64,20000.0,40,13,1.0,3700.0,16022,38,2,1
yes,https://www.kickstarter.com/projects/1013222245/serum-a-short-film,Serum - A Short Film,2016,Mar,Video,0,2,0,52,32,2000.0,30,5,15.0,500.0,4639,4,1,1
yes,https://www.kickstarter.com/projects/1375843036/the-fat-one-season-2-0,The Fat One Season 2,2016,Apr,Video,1,8,0,499,20,12500.0,31,11,5.0,1009.0,3903,6,1,1
yes,https://www.kickstarter.com/projects/1662778429/merscythe-adventures-with-the-codue,Merscythe: Adventures with the Codue,2016,Mar,Software,0,2,0,494,36,5000.0,60,6,5.0,45.0,7996,8,1,1
yes,https://www.kickstarter.com/projects/1790763228/bamboo-bicycle-workshop-reusable-jig-system,Bamboo Bicycle Workshop Reusable Jig System,2016,Mar,Crafts,0,1,0,511,43,550.0,30,1,1.0,1.0,1385,0,0,0
yes,https://www.kickstarter.com/projects/503329422/made-to-measure-makeup-case-with-alterable-structu,Made-to-measure makeup case with ALTERABLE structure,2016,Feb,Design,1,0,0,54,52,3597.74,54,17,1.45,754.0,5250,26,1,1
no,https://www.kickstarter.com/projects/119462129/protecting-you,Protecting You,2016,Mar,Video,0,0,0,124,14,5000.0,30,6,15.0,200.0,566,0,0,0
yes,https://www.kickstarter.com/projects/270572750/lever-gear-toolcard-credit-card-sized-multitool-an,Lever Gear Toolcard- 40 Tools in 1 Slim Card & Money Clip,2016,Mar,Design,0,4,0,512,61,12000.0,33,9,5.0,1000.0,12579,40,1,1
no,https://www.kickstarter.com/projects/217466622/a-database-of-free-images-for-speech-therapists,A database of free images for speech therapists,2016,Mar,Art,0,0,0,628,47,3395.5,60,4,5.0,54.0,4172,0,0,0
no,https://www.kickstarter.com/projects/467198207/6284-calc,6284 Calc,2016,Feb,Apps,1,0,0,120,9,1500.0,60,2,1.0,25.0,4301,1,1,1
no,https://www.kickstarter.com/projects/1438035545/paws-n-peeps-seed-to-start-building-web-site-and-a,Paws 'N'Peeps - seed $ to start building web site & app,2016,Mar,Apps,0,2,0,353,68,55000.0,28,2,50.0,500.0,1403,0,0,0
yes,https://www.kickstarter.com/projects/forestceramic/patterned-porcelain-cup-series-by-forest-ceramic-c,Patterned Porcelain Cup Series by Forest Ceramic Company,2016,Mar,Crafts,1,5,0,479,56,7500.0,30,9,5.0,320.0,5619,12,1,1
no,https://www.kickstarter.com/projects/612537146/candle-melt-ables,Homemade candle dream,2016,Mar,Crafts,1,0,0,500,21,5000.0,30,6,5.0,100.0,1211,0,0,0
no,https://www.kickstarter.com/projects/904537493/youraccessibleholidaycom-join-the-revolution,YourAccessibleHoliday.com - Join The Revolution,2016,Apr,Software,0,0,0,595,47,115127.6,30,9,1.42,426.0,6092,0,0,0
yes,https://www.kickstarter.com/projects/1111900111/burl-and-fur,Burl & Fur,2016,Mar,Art,0,0,0,161,14,14000.0,30,7,10.0,250.0,10067,15,1,1
no,https://www.kickstarter.com/projects/130429900/media-reminder-app,Media Reminder App,2016,Mar,Apps,0,0,0,537,18,5093.26,30,4,2.25,17.0,3910,8,0,0
no,https://www.kickstarter.com/projects/661955085/bernie-bus-2016-craft-vehicle-for-california,Bernie Sanders Bus 2016 - Craft Tour for California,2016,Apr,Crafts,0,0,0,287,51,20000.0,7,1,15.0,15.0,1686,0,0,0
yes,https://www.kickstarter.com/projects/liamironsart/liam-irons-artwork,Liam Irons Artwork,2016,Mar,Art,1,0,0,499,18,503.68,30,3,21.0,70.0,1623,14,1,1
no,https://www.kickstarter.com/projects/350497593/trueat,TruEat,2016,Mar,Apps,1,1,3,506,6,10000.0,30,4,1.0,25.0,2407,0,1,1
yes,https://www.kickstarter.com/projects/1410842311/the-future-is-now-volume-two,The Future is Now - Volume Two,2016,Mar,Art,0,10,0,210,30,20373.03,34,9,1.1,658.0,11222,24,1,1
yes,https://www.kickstarter.com/projects/415227220/the-rush-brush,RushBrush,2016,Apr,Design,1,0,0,512,9,3000.0,25,15,1.0,500.0,2962,7,1,1
yes,https://www.kickstarter.com/projects/1569844412/day-of-rest,Day of Rest,2016,Apr,Video,0,3,0,248,11,791.5,30,6,4.0,358.0,686,13,0,0
yes,https://www.kickstarter.com/projects/1624563312/infinity-the-pen-from-space,The Pen from Space - INFINITY,2016,Mar,Design,1,3,0,464,29,14390.95,35,17,1.41,675.0,14515,20,1,1
no,https://www.kickstarter.com/projects/1308123917/3d-druck-ersatzteile-zubehor-und-dekoartikel,3D Druck Ersatzteile	 Zubeh\xc3\xb6r und Dekoartikel,2016,Feb,Crafts,0,0,0,642,52,3961.42,60,1,225.0,225.0,1906,6,0,0
yes,https://www.kickstarter.com/projects/grillinator/the-ultimate-bbq-grill-cleaning-brush,The Ultimate BBQ Grill Cleaning Brush,2016,Apr,Design,1,9,0,504,37,11450.0,28,12,5.0,2500.0,7029,20,1,1
yes,https://www.kickstarter.com/projects/1197751574/micro-helms-chain-jewelry,Micro Helms Chain Jewelry,2016,Mar,Crafts,1,0,0,493,25,100.0,30,11,1.0,65.0,5195,0,0,0
yes,https://www.kickstarter.com/projects/playingwithballs/playing-with-balls-an-original-improv-web-series,Playing with Balls: An Original Improv Web Series,2016,Mar,Video,0,0,0,91,49,3150.0,25,4,25.0,500.0,2534,1,1,1
no,https://www.kickstarter.com/projects/400067108/miss-mias-masterpiece,Miss Mia's Masterpiece,2016,Apr,Art,0,0,0,215,26,1000.0,15,3,30.0,100.0,1811,1,0,0
no,https://www.kickstarter.com/projects/1797857297/social-media-for-the-geek-in-you,Social Media For The Geek In You,2016,Mar,Software,0,0,0,499,32,17500.0,30,9,5.0,5000.0,1784,0,1,1
no,https://www.kickstarter.com/projects/480193583/madame-butterfly,Madame Butterfly,2016,Mar,Crafts,0,0,0,344,16,2500.0,31,1,20.0,20.0,1641,0,0,0
no,https://www.kickstarter.com/projects/1117866553/mymusicc-free-online-worldwide-unlimited-music-sto,MyMusi.cc:  Free	 Online	 Worldwide	 Unlimited Music Storage,2016,Feb,Software,0,0,0,292,60,12000.0,60,3,250.0,1000.0,2836,0,1,1
no,https://www.kickstarter.com/projects/846824583/reminisc,Reminisc,2016,Mar,Apps,1,0,0,67,8,3000.0,49,2,5.0,50.0,244,8,1,1
yes,https://www.kickstarter.com/projects/644653534/slash-the-next-level-of-affordable-professional-3d,SLASH: The Next Level of Affordable Professional 3D Printer,2016,Mar,Design,1,1,0,247,59,50000.0,30,7,1.0,9999.0,18605,31,3,1
yes,https://www.kickstarter.com/projects/1584234339/before-i-leave,Before I Leave,2016,Mar,Video,0,0,0,500,14,2500.0,31,6,5.0,500.0,6509,13,1,1
no,https://www.kickstarter.com/projects/1764531501/metro-measurecentimetersfractions-and-backside-cou,Metro Measure	centimeters	fractions and backside counts 100,2016,Mar,Crafts,0,0,0,435,59,135000.0,45,1,100.0,100.0,747,0,0,0
no,https://www.kickstarter.com/projects/611274871/the-talking-gym-a-gym-for-people-with-social-anxie,The Talking Gym: A Gym for People with Social Anxiety,2016,Feb,Software,0,0,0,0,53,500.0,40,4,10.0,65.0,3080,0,1,1
yes,https://www.kickstarter.com/projects/1108038598/kokoro,KOKORO,2016,Mar,Art,0,0,0,637,6,792.28,45,5,6.0,113.0,3300,23,0,0
no,https://www.kickstarter.com/projects/1598556910/dirty-bear-soap-home-of-the-crazy-soaps,Dirty Bear Soap - Home of the CRAZY soaps!,2016,Mar,Crafts,1,0,0,328,42,499.0,30,6,1.0,50.0,225,0,1,1
no,https://www.kickstarter.com/projects/1848260744/solar-flair-visual-display-alphanumeric-system,Solar  Flair - Visual Display Alphanumeric System,2016,Feb,Gadgets,1,1,0,538,49,80000.0,60,5,5.0,210.0,5261,18,3,1
no,https://www.kickstarter.com/projects/scubaguy/booger-buster,Booger Buster,2016,Mar,Gadgets,1,0,0,426,13,11000.0,30,1,10.0,10.0,2903,0,0,0
no,https://www.kickstarter.com/projects/328702596/new-england-balloon-art-academy,New England Balloon Art Academy,2016,Mar,Art,1,0,0,109,31,5000.0,30,3,10.0,25.0,1318,0,0,0
yes,https://www.kickstarter.com/projects/1857106266/handmade-pop-up-cards-providing-employment-for-the,Handmade Pop-up Cards Providing Employment For the Disabled,2016,Mar,Crafts,1,2,20,362,59,1000.0,30,6,15.0,1000.0,3960,12,2,1
no,https://www.kickstarter.com/projects/1769225103/bonnielove-your-hair-with-handmade-oversized-satin,BonnieLove your hair with handmade oversized satin bonnets.,2016,Mar,Crafts,1,0,0,486,59,3412.0,18,5,1.0,300.0,1429,2,1,1
yes,https://www.kickstarter.com/projects/1281815866/pacific-and-west-premium-walnut-and-brass-notebook,Pacific & West - Premium Walnut and Brass Notebooks,2016,Mar,Design,0,26,0,353,55,15000.0,30,15,1.0,1000.0,4396,11,1,1
yes,https://www.kickstarter.com/projects/834506810/double-doggie-two-dog-walker,Double Doggie	 Two Dog Walker,2016,Mar,Design,1,3,0,367,29,20000.0,35,5,10.0,50.0,689,7,1,1
yes,https://www.kickstarter.com/projects/mmt/e-p-h-e-m-e-r-i-s-my-watch-my-day-in-space,EPHEMERIS : my watch \xe2\x80\xa2 my day \xe2\x80\xa2 in space,2016,Mar,Design,0,0,0,307,62,22636.7,40,11,1.11,332.0,4018,35,1,1
no,https://www.kickstarter.com/projects/1589910148/internet-addiction-blocker-manager,Internet Addiction Blocker Manager,2016,Apr,Software,0,0,0,507,34,30000.0,15,3,5.0,60.0,1923,0,1,1
yes,https://www.kickstarter.com/projects/580916190/handcrafted-dog-dining-tables-the-paw-bar-for-dogs,The Paw Bar. Fine handmade wood cat & dog dining tables.,2016,Mar,Crafts,1,3,4,508,72,1500.0,45,9,119.0,335.0,4450,23,2,1
yes,https://www.kickstarter.com/projects/2033025128/need-prints-so-i-can-sell-them-on-my-etsy-page,Need prints so i can sell them on my etsy page!!,2016,Mar,Art,0,0,0,230,48,300.0,30,7,5.0,60.0,550,3,0,0
yes,https://www.kickstarter.com/projects/767091112/spirits-of-the-forest-magnolia-plush-toys-by-sprit,Spirits of the Forest and Sea Plush Toys by Spritelings,2016,Apr,Crafts,0,15,4,500,55,1000.0,7,6,20.0,80.0,2041,10,0,0
yes,https://www.kickstarter.com/projects/978710519/moonbeam-hand-dyed-hammocks-and-adventure-goods,The Moonbeam Hand-Dyed Adventure Hammock - In 17 Colors!,2016,Mar,Design,1,5,0,516,56,11000.0,36,13,10.0,160.0,5287,18,1,1
no,https://www.kickstarter.com/projects/747496835/paris-seminar-donation-fund-wwwparisseminarcom,Paris Seminar Donation Fund - www.parisseminar.com,2016,Feb,Art,1,0,0,505,62,2500.0,60,5,25.0,500.0,5360,0,0,0
yes,https://www.kickstarter.com/projects/bunnyandclive/bunny-and-clive,Bunny and Clive,2016,Mar,Video,1,0,0,507,15,7195.48,30,9,14.0,1410.0,8172,0,1,1
yes,https://www.kickstarter.com/projects/683181047/help-me-to-become-the-next-ray-harryhausen,My stop-motion animation career is about to start!,2016,Mar,Video,0,0,0,164,50,400.0,30,1,15.0,15.0,1449,0,0,0
yes,https://www.kickstarter.com/projects/60785906/glass-1,Glass,2016,Apr,Video,1,0,0,157,5,5000.0,25,7,1.0,1000.0,3377,11,1,1
no,https://www.kickstarter.com/projects/1207022190/myart-by-mykeala-belion,My'Art by My'Keala Belion,2016,Mar,Art,1,0,0,232,33,600.0,30,1,25.0,25.0,1535,0,0,0
no,https://www.kickstarter.com/projects/1440712734/develop-a-common-language-with-dolphins,Develop a common language with dolphins,2016,Apr,Software,0,0,0,112,39,143909.5,30,2,1.43,7173.0,2095,0,0,0
no,https://www.kickstarter.com/projects/avibot/avibot-life-size-sculpture-for-interactive-reality,Avibot Life size sculpture for interactive reality show.,2016,Mar,Art,1,3,0,339,68,15000.0,21,2,50.0,100.0,1319,1,1,1
yes,https://www.kickstarter.com/projects/hannahminton/the-bovary-complex-a-teenage-made-film,The Bovary Complex,2016,Apr,Video,0,3,0,61,18,1000.0,23,6,10.0,500.0,4648,8,1,1
no,https://www.kickstarter.com/projects/600997124/smashas-stank-eraser,Smasha's Stank Eraser,2016,Mar,Crafts,1,0,0,251,25,1149.38,20,5,4.0,42.0,1942,0,0,0
no,https://www.kickstarter.com/projects/1748830136/help-a-mama-out-app,Help a Mama Out App,2016,Feb,Apps,1,0,0,244,19,3500.0,60,5,10.0,250.0,2209,0,0,0
no,https://www.kickstarter.com/projects/969032913/ava-maria-lambs-sustainable-and-natural-plush-wool,Ava Maria Lambs - Sustainable & Natural Plush Wool Lambs,2016,Mar,Crafts,1,0,0,500,60,25000.0,17,5,99.0,990.0,4037,2,1,1
no,https://www.kickstarter.com/projects/officialtomj/simple-deliveries-the-easiest-way-to-track-package,Simple Deliveries: The easiest way to track packages online.,2016,Mar,Apps,0,0,0,251,60,3831.25,30,8,0.73,731.0,7117,7,1,1
no,https://www.kickstarter.com/projects/alexraboin/attract-the-mate-you-want,Attract the mate you want (Canceled),2016,Apr,Apps,1,0,0,438,36,50000.0,30,5,1.0,75.0,8205,11,1,1
no,https://www.kickstarter.com/projects/oddburton/a-coloring-book-for-people-who-love-animals,Endangered Animals Coloring Book,2016,Mar,Art,1,13,0,506,32,65000.0,34,12,1.0,10000.0,7550,21,1,1
yes,https://www.kickstarter.com/projects/1179989164/sans-juice-and-smoothie-preserving-travel-bottle,SANS Juice and Smoothie Preserving Travel Bottle,2016,Feb,Design,0,2,0,386,48,20000.0,45,10,5.0,8000.0,2573,24,1,1
no,https://www.kickstarter.com/projects/1632306105/giftprompt-mobile-app,GiftPrompt Mobile App,2016,Mar,Apps,0,0,0,248,21,6000.0,30,1,25.0,25.0,2599,0,0,0
yes,https://www.kickstarter.com/projects/1211970462/pc594-the-art-of-rebellion,PC594: The Art of Rebellion,2016,Mar,Video,1,14,3,503,27,30000.0,35,21,1.0,9900.0,4097,3,1,1
yes,https://www.kickstarter.com/projects/designstack/pinkus-write-better-with-your-stylus-and-tablet,Pinkus - The Best friend for your Stylus,2016,Mar,Design,0,3,2,250,40,719.55,40,31,1.39,55.0,2833,25,3,1
yes,https://www.kickstarter.com/projects/wallgers/vbag-5-in-1-convertible-backpack-system-one-bag-do,Vbag 5-in-1 Convertible Backpack System: One Bag Does It All,2016,Mar,Design,0,4,0,135,60,8000.0,30,14,5.0,3800.0,6088,25,1,1
